RomName,Console,FileSize,FileType,LocationUrl,DownloadUrl,DateFirstAdded, DateLastUpdated,FlagDownload,PreviouslyDownloaded,Rating,LocalPath,Notes
Bases Loaded 4,Nintendo,160 KB,fType,https://vimm.net/vault/87,https://download2.vimm.net/download/?mediaId=87,dateF,dateL,False,False,rate,lPath,blah
Bases Loaded II: Second Season,Nintendo,143 KB,fType,https://vimm.net/vault/85,https://download2.vimm.net/download/?mediaId=85,dateF,dateL,False,False,rate,lPath,blah
Batman Returns,Nintendo,216 KB,fType,https://vimm.net/vault/96,https://download2.vimm.net/download/?mediaId=96,dateF,dateL,False,False,rate,lPath,blah
Batman: Return of the Joker,Nintendo,202 KB,fType,https://vimm.net/vault/95,https://download2.vimm.net/download/?mediaId=95,dateF,dateL,False,False,rate,lPath,blah
Batman: The Video Game,Nintendo,153 KB,fType,https://vimm.net/vault/94,https://download2.vimm.net/download/?mediaId=94,dateF,dateL,False,False,rate,lPath,blah
Battle Chess,Nintendo,134 KB,fType,https://vimm.net/vault/89,https://download2.vimm.net/download/?mediaId=89,dateF,dateL,False,False,rate,lPath,blah
Battle of Olympus The,Nintendo,98 KB,fType,https://vimm.net/vault/91,https://download2.vimm.net/download/?mediaId=91,dateF,dateL,False,False,rate,lPath,blah
Battleship,Nintendo,25 KB,fType,https://vimm.net/vault/97,https://download2.vimm.net/download/?mediaId=97,dateF,dateL,False,False,rate,lPath,blah
Battletoads,Nintendo,187 KB,fType,https://vimm.net/vault/93,https://download2.vimm.net/download/?mediaId=93,dateF,dateL,False,False,rate,lPath,blah
Battletoads/Double Dragon,Nintendo,185 KB,fType,https://vimm.net/vault/90,https://download2.vimm.net/download/?mediaId=90,dateF,dateL,False,False,rate,lPath,blah
Bee 52,Nintendo,53 KB,fType,https://vimm.net/vault/98,https://download2.vimm.net/download/?mediaId=98,dateF,dateL,False,False,rate,lPath,blah
Beetlejuice,Nintendo,96 KB,fType,https://vimm.net/vault/99,https://download2.vimm.net/download/?mediaId=99,dateF,dateL,False,False,rate,lPath,blah
Best of the Best: Championship Karate,Nintendo,115 KB,fType,https://vimm.net/vault/101,https://download2.vimm.net/download/?mediaId=101,dateF,dateL,False,False,rate,lPath,blah
Bible Adventures,Nintendo,73 KB,fType,https://vimm.net/vault/102,https://download2.vimm.net/download/?mediaId=102,dateF,dateL,False,False,rate,lPath,blah
Bible Buffet,Nintendo,133 KB,fType,https://vimm.net/vault/103,https://download2.vimm.net/download/?mediaId=103,dateF,dateL,False,False,rate,lPath,blah
Big Nose Freaks Out,Nintendo,149 KB,fType,https://vimm.net/vault/106,https://download2.vimm.net/download/?mediaId=106,dateF,dateL,False,False,rate,lPath,blah
